"sample","count","length","legal.sublegal","family","genus","species","project","campaignid"
"289","1","105","Legal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"296","1","105","Legal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"311","2","105","Legal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"361","1","105","Legal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"33","1","115","Legal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"121","1","115","Legal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"131","1","115","Legal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"147","1","115","Legal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"183","1","115","Legal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"253","1","115","Legal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"259","1","115","Legal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"261","1","115","Legal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"297","1","115","Legal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"178","1","125","Legal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"183","1","125","Legal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"248","1","125","Legal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"219","1","135","Legal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"304","2","135","Legal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2014-01_Rottnest.sanctuaries_SVC"
"425","3","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"443","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"476","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"478","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"481","3","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"487","2","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"532","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"537","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"580","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"608","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"654","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"657","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"743","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"745","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"747","1","35","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"400","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"401","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"408","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"410","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"411","3","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"418","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"431","2","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"443","2","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"472","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"477","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"490","4","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"491","3","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"492","8","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"494","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"495","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"506","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"529","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"539","6","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"541","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"543","7","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"552","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"555","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"557","2","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"567","2","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"568","3","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"576","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"580","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"581","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"588","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"591","3","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"593","3","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"596","2","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"607","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"608","2","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"620","2","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"657","2","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"659","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"661","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"670","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"700","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"721","2","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"725","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"727","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"743","2","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"744","2","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"747","1","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"812","2","45","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"411","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"416","3","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"417","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"421","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"427","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"429","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"431","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"453","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"461","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"469","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"475","4","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"487","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"490","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"492","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"495","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"506","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"515","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"527","22","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"538","3","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"557","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"568","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"569","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"572","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"574","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"575","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"583","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"587","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"592","8","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"598","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"600","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"601","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"606","5","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"608","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"616","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"620","5","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"629","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"639","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"642","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"661","3","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"669","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"670","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"723","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"727","2","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"745","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"758","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"765","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"769","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"773","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"777","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"784","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"788","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"796","1","55","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"401","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"411","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"417","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"427","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"429","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"432","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"446","4","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"448","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"459","5","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"462","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"463","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"468","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"511","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"515","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"527","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"569","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"570","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"574","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"580","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"583","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"585","3","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"592","3","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"593","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"598","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"600","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"606","4","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"608","3","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"610","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"611","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"615","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"616","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"618","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"620","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"631","3","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"634","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"640","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"641","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"642","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"643","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"656","3","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"664","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"669","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"690","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"691","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"704","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"705","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"709","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"713","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"717","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"721","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"723","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"725","4","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"730","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"732","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"734","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"736","3","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"739","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"744","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"745","3","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"758","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"769","2","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
"779","1","65","Sublegal","Palinuridae","Panulirus","cygnus","BIOL4408 Marine Ecology field trip","2015-01_Rottnest.sanctuaries_SVC"
